Political_Bloc,Rank,Positive_Feature,Pos_Weight,Negative_Feature,Neg_Weight
RIGHT_UNM,16,societe,1.0844,motiver,-0.6776
RIGHT_UNM,17,aide,1.0803,ouverture,-0.6676
RIGHT_UNM,18,contrepoids,1.06,droite,-0.663
RIGHT_UNM,19,bureaucratie,1.0598,grand,-0.6547
RIGHT_UNM,20,unique rpr,1.0121,participer,-0.6422
RIGHT_UPF,1,union rpr,4.3429,union rassemblement,-2.6504
RIGHT_UPF,2,union udf,2.5419,liberte,-1.9353
RIGHT_UPF,3,union,2.5163,rassemblement centre,-1.7914
RIGHT_UPF,4,rpr,2.2524,union majorite,-1.7296
RIGHT_UPF,5,udf,1.948,parti,-1.6751
RIGHT_UPF,6,udf rpr,1.8221,rassemblement,-1.5264
RIGHT_UPF,7,rpr udf,1.7054,gauche,-1.5247
RIGHT_UPF,8,mobiliser,1.5939,ouverture,-1.3376
RIGHT_UPF,9,xavier,1.3681,urc,-1.3139
RIGHT_UPF,10,legislative republique,1.3511,candidature,-1.3026
RIGHT_UPF,11,redresser,1.3224,droite,-1.2595
RIGHT_UPF,12,destin union,1.2671,progres,-1.2099
RIGHT_UPF,13,unique opposition,1.2335,centre,-1.2092
RIGHT_UPF,14,opposition rpr,1.1364,socialiste,-1.1995
RIGHT_UPF,15,futur,1.1196,professeur,-1.1987
RIGHT_UPF,16,environnement,1.1131,presidentiel,-1.0981
RIGHT_UPF,17,cpi,1.0934,reforme redressement,-1.0961
RIGHT_UPF,18,union constituer,1.0813,abstention,-0.993
RIGHT_UPF,19,espace rural,1.073,danger,-0.9796
RIGHT_UPF,20,assurer securite,1.0503,equilibre,-0.9734
RIGHT_URC,1,union rassemblement,4.0821,changement,-1.9184
RIGHT_URC,2,rassemblement centre,2.7226,union majorite,-1.458
RIGHT_URC,3,urc,2.1129,dominiqu,-1.4236
RIGHT_URC,4,centre,2.04,presenter union,-1.4161
RIGHT_URC,5,centre rpr,1.7289,environnement,-1.3283
RIGHT_URC,6,etat socialiste,1.5541,enfant pays,-1.2535
RIGHT_URC,7,securite personne,1.4952,regional conseiller,-1.2438
RIGHT_URC,8,poursuivre,1.2617,doub,-1.1697
RIGHT_URC,9,concret,1.2551,majorite,-1.1611
RIGHT_URC,10,rassemblement,1.2231,cds,-1.1195
RIGHT_URC,11,ouverture,1.1935,union opposition,-1.0541
RIGHT_URC,12,dissoudre,1.129,socialiste socialiste,-1.0007
RIGHT_URC,13,probleme,1.1227,renouveau,-0.9709
RIGHT_URC,14,majorite liberal,1.1006,rassemblement republique,-0.9358
RIGHT_URC,15,equilibre,1.0955,enfant directeur,-0.927
RIGHT_URC,16,legislativ,1.0855,ne_acquerir,-0.9052
RIGHT_URC,17,personne,1.0658,votez,-0.8638
RIGHT_URC,18,rpr,1.0602,essor economique,-0.849
RIGHT_URC,19,sectarisme,1.0583,president commission,-0.8442
RIGHT_URC,20,rpr udf,0.9865,societe,-0.832
